,timestamp_iso_x,opc_pm25_x,pm25_env_x,opc_pm10_x,pm10_env_x,id,timestamp_iso_y,opc_pm25_y,pm25_env_y,opc_pm10_y,pm10_env_y
97,2025-10-07 17:30:30+00:00,4.013,4.0,8.407,5.0,98,2025-10-07 17:30:34+00:00,4.613,7.0,12.875,8.0
98,2025-10-07 17:30:35+00:00,3.095,5.0,5.343,6.0,99,2025-10-07 17:30:39+00:00,4.949,9.0,22.13,10.0
99,2025-10-07 17:30:40+00:00,1.206,5.0,1.432,6.0,100,2025-10-07 17:30:44+00:00,3.631,9.0,7.32,10.0
100,2025-10-07 17:30:45+00:00,3.728,6.0,8.05,6.0,101,2025-10-07 17:30:49+00:00,3.251,10.0,4.627,10.0
101,2025-10-07 17:30:50+00:00,1.706,5.0,1.971,5.0,102,2025-10-07 17:30:54+00:00,1.999,10.0,2.247,10.0
102,2025-10-07 17:30:55+00:00,2.073,4.0,2.348,5.0,103,2025-10-07 17:30:59+00:00,2.15,10.0,23.59,10.0
103,2025-10-07 17:31:00+00:00,2.719,5.0,4.005,5.0,104,2025-10-07 17:31:04+00:00,2.365,9.0,3.404,9.0
104,2025-10-07 17:31:05+00:00,1.754,5.0,1.988,6.0,105,2025-10-07 17:31:09+00:00,3.906,9.0,18.716,9.0
105,2025-10-07 17:31:10+00:00,4.035,5.0,15.504,6.0,106,2025-10-07 17:31:14+00:00,3.828,9.0,11.095,9.0
106,2025-10-07 17:31:15+00:00,1.707,5.0,1.776,6.0,107,2025-10-07 17:31:19+00:00,1.926,8.0,2.154,8.0
107,2025-10-07 17:31:20+00:00,2.58,7.0,18.324,7.0,108,2025-10-07 17:31:24+00:00,2.469,8.0,3.391,8.0
108,2025-10-07 17:31:25+00:00,4.936,7.0,17.503,7.0,109,2025-10-07 17:31:29+00:00,2.985,8.0,3.577,8.0
109,2025-10-07 17:31:30+00:00,2.403,6.0,2.875,7.0,110,2025-10-07 17:31:34+00:00,1.952,8.0,11.315,8.0
110,2025-10-07 17:31:35+00:00,1.81,5.0,4.84,6.0,111,2025-10-07 17:31:39+00:00,4.287,8.0,10.109,8.0
111,2025-10-07 17:31:40+00:00,2.846,5.0,3.398,6.0,112,2025-10-07 17:31:44+00:00,1.533,8.0,1.596,8.0
112,2025-10-07 17:31:45+00:00,3.267,5.0,4.749,6.0,113,2025-10-07 17:31:49+00:00,2.716,8.0,3.761,8.0
113,2025-10-07 17:31:50+00:00,3.816,6.0,10.48,6.0,114,2025-10-07 17:31:54+00:00,2.748,9.0,3.354,9.0
114,2025-10-07 17:31:55+00:00,2.388,6.0,2.883,6.0,115,2025-10-07 17:31:59+00:00,2.714,9.0,2.994,9.0
115,2025-10-07 17:32:00+00:00,3.846,6.0,15.87,6.0,116,2025-10-07 17:32:04+00:00,4.022,9.0,7.226,9.0
116,2025-10-07 17:32:05+00:00,1.868,5.0,1.999,5.0,117,2025-10-07 17:32:09+00:00,2.025,8.0,2.407,8.0
117,2025-10-07 17:32:10+00:00,2.247,5.0,10.001,5.0,118,2025-10-07 17:32:14+00:00,2.422,10.0,2.861,12.0
118,2025-10-07 17:32:15+00:00,2.786,5.0,3.087,5.0,119,2025-10-07 17:32:19+00:00,2.808,10.0,5.546,11.0
119,2025-10-07 17:32:20+00:00,2.702,4.0,18.394,5.0,120,2025-10-07 17:32:24+00:00,4.24,9.0,8.553,11.0
120,2025-10-07 17:32:25+00:00,2.159,4.0,3.354,4.0,121,2025-10-07 17:32:29+00:00,4.382,9.0,10.986,11.0
121,2025-10-07 17:32:30+00:00,3.659,4.0,5.368,4.0,122,2025-10-07 17:32:34+00:00,2.825,10.0,6.2,11.0
122,2025-10-07 17:32:35+00:00,2.79,3.0,11.695,3.0,123,2025-10-07 17:32:39+00:00,2.529,9.0,33.656,9.0
123,2025-10-07 17:32:40+00:00,1.686,4.0,4.776,4.0,124,2025-10-07 17:32:44+00:00,2.985,9.0,17.533,9.0
124,2025-10-07 17:32:45+00:00,2.657,4.0,3.699,4.0,125,2025-10-07 17:32:49+00:00,2.172,8.0,4.801,8.0
125,2025-10-07 17:32:50+00:00,2.747,4.0,10.783,5.0,126,2025-10-07 17:32:54+00:00,3.617,8.0,5.718,8.0
126,2025-10-07 17:32:55+00:00,3.064,4.0,10.999,5.0,127,2025-10-07 17:32:59+00:00,1.69,7.0,1.925,7.0
127,2025-10-07 17:33:00+00:00,2.062,4.0,3.205,6.0,128,2025-10-07 17:33:04+00:00,2.465,6.0,5.864,6.0
128,2025-10-07 17:33:05+00:00,2.707,4.0,3.379,5.0,129,2025-10-07 17:33:09+00:00,2.086,6.0,2.464,6.0
129,2025-10-07 17:33:10+00:00,2.623,5.0,3.12,5.0,130,2025-10-07 17:33:14+00:00,3.322,7.0,20.494,7.0
130,2025-10-07 17:33:15+00:00,4.164,5.0,8.855,5.0,131,2025-10-07 17:33:19+00:00,1.052,7.0,1.06,7.0
131,2025-10-07 17:33:20+00:00,2.469,5.0,2.652,5.0,132,2025-10-07 17:33:24+00:00,3.216,9.0,6.659,9.0
